say;take;official;building;person;place;correct-reversed
strand;flood;flooding;people;river;area;correct-reversed
name;develop;;;;;wrong
flood;down;;;;;wrong
continue;cross;person;westward;person;country;correct
affect;go;;;;;wrong
enter;associate;person;area;person;convection;wrong
want;beware;;;;;wrong
jolt;measure;;;;;correct
move;emerge;;;;;correct
occur;sustain;;;;;correct
touch;reach;;;;;wrong
strike;damage;;;;;correct
enter;define;;;;;wrong
battle;contain;;;;;correct
attain;fall;person;intensity;quantity;tree;wrong
affect;die;person;country;people;person;correct-reversed
take;continue;;;;;correct
advise;evacuate;organization;resident;people;people;correct
fall;bring;;;;;wrong
cross;enter;;;;;correct
occur;locate;;;;;wrong
enter;displace;person;area;fault;people;wrong
sustain;reach;;;;;correct
reach;undergo;person;intensity;person;intensification;wrong
associate;issue;event;convection;organization;warning;wrong
leave;bring;;;;;wrong
offer;donate;;;;;correct
form;drift;person;quantity;person;northward;correct
exist;exceed;cyclone;problem;damage;quantity;correct
rise;crest;river;water;river;quantity;wrong
block;cause;;;;;correct
weaken;cross;;;;;wrong
attain;accelerate;person;intensity;person;northward;wrong
shut;close;organization;airport;organization;school;correct
transition;absorb;;;;;wrong
kill;drown;;;;;correct-reversed
reflect;multiply;;;;;wrong
damage;operate;wind;home;organization;organization;wrong
blow;sustain;;;;;correct
issue;classify;;;;;correct
occur;prevent;;;;;correct
originate;track;;;;;wrong
replace;rotate;;;;;wrong
replace;strike;organization;person;earthquake;country;wrong
accumulate;multiply;water;cyclone;loss;dike;correct
move;expose;person;westward;shear;center;correct
issue;downgrade;;;;;correct
release;take;organization;advisory;person;place;wrong
drain;lie;water;water;country;area;wrong
scatter;move;;;;;correct
strike;jolt;;;;;correct
lose;cover;people;power;flood;area;wrong
fight;contain;;;;;correct
evacuate;suffer;;;;;correct
move;bring;person;westward;storm;rain;correct
increase;decrease;;;;;correct
leave;impact;;;;;correct-reversed
include;relate;person;organization;organization;death;wrong
publish;retire;person;date;organization;name;wrong
occur;feel;earthquake;quantity;person;intensity;correct
report;produce;organization;damage;storm;wind;wrong
work;include;;;;;wrong
hit;block;;;;;correct
develop;move;;;;;correct
remove;remain;organization;debris;person;number;correct
damage;take;;;;;wrong
expose;intensify;;;;;wrong
destroy;leave;;;;;correct
damage;cover;wind;home;flood;area;wrong
multiply;reflect;;;;;wrong
move;designate;person;westward;organization;system;wrong
evacuate;erupt;;;;;correct-reversed
form;accord;person;quantity;number;rating;wrong
issue;sustain;;;;;correct
include;survive;person;organization;person;earthquake;correct
reach;increase;;;;;wrong
flood;prevent;river;area;shear;flooding;correct
document;form;;;;;correct
occur;trigger;;;;;correct
attain;dissipate;;;;;wrong
come;go;;;;;correct
set;record;country;record;station;wind;wrong
operate;include;organization;organization;person;organization;wrong
track;cross;person;northwestward;person;country;wrong
assign;have;;;;;correct
leave;stay;storm;people;person;indoor;wrong
retire;prove;;;;;wrong
undergo;weaken;;;;;correct
donate;distribute;organization;money;organization;food;correct
determine;contribute;organization;epicentre;organization;money;wrong
cross;downgrade;;;;;wrong
move;enter;;;;;correct
evacuate;go;people;people;person;house;correct
help;raise;country;victim;organization;money;correct
peak;pass;rainfall;wind;person;quantity;correct
move;receive;;;;;correct
lose;fall;people;power;quantity;tree;wrong
assign;judge;organization;name;organization;system;wrong
emerge;remain;wave;country;person;number;correct
end;delimit;;;;;wrong
damage;leave;wind;home;storm;people;correct
occur;shake;earthquake;quantity;earthquake;country;correct
raise;bring;;;;;wrong
total;cause;damage;money;storm;damage;correct-reversed
fall;rescue;;;;;correct
originate;affect;;;;;correct
design;build;;;;;correct
organize;upgrade;system;convection;organization;system;wrong
hit;hold;earthquake;country;dike;water;correct
observe;include;number;wind;person;organization;wrong
maintain;cross;;;;;wrong
drown;kill;;;;;correct
reflect;speak;;;;;wrong
flood;recede;;;;;correct
originate;intensify;person;quantity;person;storm;wrong
flood;cause;;;;;wrong
inundate;affect;;;;;wrong
approach;track;;;;;correct-reversed
accumulate;speak;water;cyclone;person;language;wrong
erupt;flow;volcano;volcano;water;river;wrong
form;remain;person;quantity;person;number;correct
miss;recover;people;people;person;body;correct
have;judge;;;;;wrong
designate;issue;;;;;wrong
assess;upgrade;;;;;wrong
longitude;expect;;west;person;storm;wrong
organize;follow;system;convection;organization;date;wrong
burn;consume;fire;quantity;fire;quantity;correct
experience;occur;;;;;correct-reversed
reside;live;people;radius;people;storm;correct
classify;track;organization;system;person;northwestward;wrong
exist;reflect;cyclone;problem;this;activity;wrong
wash;fall;flood;road;quantity;tree;wrong
know;originate;;;;;wrong
base;include;person;organization;person;organization;wrong
lose;sustain;people;power;home;damage;wrong
remain;expect;person;number;person;storm;wrong
destroy;demolish;;;;;correct
send;fly;;;;;wrong
contribute;fall;;;;;correct
move;consist;person;westward;person;rock;wrong
pass;produce;;;;;wrong
destroy;result;tornado;home;damage;flood;correct
assign;judge;;;;;wrong
capsize;cause;boat;boat;storm;damage;correct
form;develop;person;quantity;depression;eye;wrong
allow;locate;condition;resident;person;person;wrong
issue;bring;organization;warning;storm;rain;wrong
classify;continue;organization;system;person;westward;wrong
damage;die;;;;;correct
donate;provide;;;;;correct
ignite;burn;;;;;correct
delimit;limit;date;period;date;damage;correct
increase;weaken;convection;shear;person;trend;wrong
expect;send;person;storm;organization;team;correct
sink;rescue;boat;boat;organization;people;correct
dissipate;evacuate;person;mi;people;people;correct
shake;hit;;;;;correct-reversed
evacuate;flood;;;;;correct-reversed
send;arrive;;;;;correct
expose;dissipate;;;;;wrong
move;cross;person;westward;person;country;correct
bring;kill;;;;;wrong
drown;damage;;;;;correct-reversed
distribute;provide;;;;;correct
record;include;;;;;wrong
develop;consolidate;;;;;wrong
take;develop;;;;;wrong
intensify;make;;;;;make
move;emerge;person;westward;wave;country;wrong
submit;name;organization;report;organization;storm;correct
move;slow;person;westward;person;motion;wrong
accumulate;exist;water;cyclone;cyclone;problem;wrong
affect;cancel;;;;;wrong
resume;weaken;organization;track;person;trend;wrong
strike;bring;earthquake;country;storm;rain;wrong
snap;occur;tornado;tree;earthquake;quantity;wrong
suspend;close;organization;service;organization;school;correct
speak;exceed;person;language;damage;quantity;wrong
undergo;name;person;intensification;organization;storm;wrong
hit;strike;earthquake;country;earthquake;country;wrong
burn;light;fire;quantity;earthquake;fire;correct-reversed
inundate;fall;flood;area;quantity;tree;correct-reversed
continue;accelerate;;;;;correct
cause;result;;;;;correct
end;feature;season;drought;date;cyclone;wrong
level;damage;;;;;wrong
destroy;burn;;;;;correct-reversed
move;show;;;;;correct
intensify;accelerate;person;storm;person;northward;correct
move;monitor;;;;;correct
name;know;organization;storm;person;cyclone;correct
follow;hit;organization;date;earthquake;country;wrong
slip;lie;;;;;correct
hit;record;;;;;correct
rat;touch;organization;tornado;tornado;southwest;wrong
hit;add;earthquake;country;organization;quantity;wrong
cause;strike;storm;damage;earthquake;country;wrong
begin;remain;record;trend;person;number;wrong
flood;damage;river;area;wind;home;correct
intensify;accelerate;;;;;correct-reversed
leave;include;storm;people;person;organization;wrong
kill;destroy;;;;;correct-reversed
reach;curve;person;intensity;storm;northward;correct-reversed
take;close;;;;;wrong
last;delimit;person;time;date;period;correct
flood;surround;river;area;convection;area;correct-reversed
lead;occur;rain;organization;earthquake;quantity;wrong
attain;pass;;;;;wrong
close;issue;;;;;wrong
accumulate;multiply;;;;;wrong
speak;exceed;;;;;wrong
accelerate;transition;;;;;wrong
pledge;donate;;;;;correct
send;help;;;;;correct
total;damage;damage;money;wind;home;correct-reversed
affect;amount;;;;;wrong
cancel;issue;;;;;correct-reversed
repair;restore;worker;damage;power;power;wrong
track;organize;;;;;wrong
assess;intensify;;;;;correct-reversed
last;reach;;;;;correct
archive;retrieve;nhc;version;person;body;wrong
strengthen;reach;person;storm;person;intensity;correct
send;provide;;;;;correct
destroy;die;tornado;home;people;person;correct
weaken;indicate;person;trend;report;wind;wrong
track;upgrade;;;;;wrong
begin;move;;;;;correct
publish;assign;;;;;correct-reversed
estimate;kill;person;wind;person;people;correct
deploy;assist;organization;team;organization;victim;correct
increase;strengthen;;;;;correct
begin;form;record;trend;person;quantity;correct
remain;return;;;;;correct
cause;lead;storm;damage;rain;organization;wrong
go;know;person;house;person;cyclone;correct-reversed
run;delimit;person;organization;date;period;wrong
select;retire;;;;;wrong
issue;include;;;;;wrong
flow;increase;;;;;correct
donate;contribute;;;;;correct
flood;affect;;;;;correct
form;assign;person;quantity;organization;name;wrong
collapse;die;building;building;people;person;correct
leave;remain;;;;;wrong
control;burn;;;;;correct-reversed
issue;discontinue;organization;warning;person;advisory;correct
multiply;exceed;loss;dike;damage;quantity;wrong
cause;run;;;;;wrong
include;call;person;organization;person;organization;correct-reversed
upgrade;enter;;;;;correct-reversed
assign;retire;;;;;correct-reversed
rise;flood;;;;;correct
associate;summarize;person;convection;table;system;wrong
injure;damage;number;people;wind;home;correct-reversed
strengthen;dissipate;;;;;correct-reversed
conduct;include;;;;;correct-reversed
classify;follow;;;;;wrong
know;form;person;cyclone;person;quantity;wrong
destroy;uproot;tornado;home;wind;tree;correct
release;record;organization;advisory;station;wind;correct-reversed
follow;come;organization;date;person;date;wrong
discontinue;follow;;;;;wrong
burn;contain;;;;;wrong
deepen;upgrade;person;trough;organization;system;wrong
move;drop;person;westward;storm;rainfall;correct-reversed
dissipate;monitor;person;mi;organization;system;wrong
upgrade;define;;;;;wrong
bring;close;storm;rain;organization;school;correct
warn;strengthen;;;;;correct-reversed
lose;close;;;;;wrong
follow;retire;organization;date;organization;name;wrong
intensify;turn;;;;;correct
kill;work;person;people;person;shift;wrong
fall;associate;quantity;tree;person;convection;wrong
follow;occur;;;;;correct-reversed
limit;form;;;;;wrong
weaken;produce;;;;;wrong
name;form;;;;;wrong
leave;close;;;;;correct
emerge;make;;;;;wrong
emerge;continue;;;;;wrong
occur;build;earthquake;quantity;person;home;correct
send;distribute;organization;team;organization;food;correct
center;move;;;;;wrong
grow;contain;;;;;correct
weaken;make;;;;;wrong
die;miss;people;person;people;people;correct
cross;strike;;;;;wrong
archive;retrieve;;;;;correct
experience;issue;;;;;correct
donate;match;organization;money;organization;donation;correct
intensify;undergo;person;storm;person;intensification;wrong
intensify;increase;person;storm;convection;shear;wrong
uproot;destroy;;;;;correct
send;raise;organization;team;organization;money;correct
affect;close;person;country;organization;school;wrong
assess;reach;person;damage;person;intensity;wrong
tend;delimit;cyclone;farm;date;period;wrong
remain;pass;;;;;wrong
measure;centre;quake;number;person;earthquake;wrong
drop;produce;storm;rainfall;storm;wind;wrong
base;pass;;;;;wrong
follow;provide;;;;;wrong
level;destroy;;;;;wrong
take;affect;;;;;correct
weaken;drop;person;trend;storm;rainfall;correct
affect;distribute;person;country;organization;food;wrong
assign;take;organization;name;person;place;wrong
retire;mark;;;;;wrong
cross;continue;;;;;correct-reversed
reach;strengthen;person;intensity;person;storm;correct-reversed
destroy;level;;;;;correct-reversed
track;persist;person;northwestward;remnant;quantity;wrong
move;recurve;;;;;wrong
follow;feel;organization;date;person;intensity;wrong
evacuate;surge;people;people;storm;river;correct-reversed
destroy;rebuild;;;;;correct
fall;miss;quantity;tree;people;people;correct
increase;attain;convection;shear;person;intensity;wrong
leave;evacuate;storm;people;people;people;wrong
retire;replace;;;;;correct
drown;wash;;;;;wrong
distribute;affect;;;;;wrong
inundate;flood;flood;area;river;area;correct-reversed
spawn;destroy;;;;;wrong
sweep;throw;;;;;correct
strengthen;upgrade;;;;;correct-reversed
organize;enter;system;convection;person;area;wrong
intensify;enter;;;;;wrong
dispatch;assist;organization;team;organization;victim;correct
remain;prevent;;;;;wrong
reflect;speak;person;activity;person;language;correct
last;delimit;;;;;correct
evacuate;die;people;people;people;person;correct-reversed
strengthen;continue;person;storm;person;westward;correct
issue;extend;;;;;correct
mark;start;this;name;person;fire;wrong
classify;upgrade;;;;;wrong
fall;receive;quantity;tree;person;quantity;wrong
injure;destroy;number;people;tornado;home;correct-reversed
drop;damage;storm;rainfall;wind;home;wrong
move;assess;person;westward;person;damage;correct-reversed
trigger;affect;;;;;correct
affect;wash;;;;;wrong
weaken;attain;person;trend;person;intensity;wrong
isolate;leave;flooding;community;storm;people;wrong
include;come;;;;;wrong
weaken;dissipate;person;trend;person;mi;wrong
issue;raise;;;;;wrong
rebuild;help;;;;;correct
interact;reach;;;;;correct-reversed
upgrade;designate;;;;;wrong
inundate;flood;;;;;correct-reversed
identify;affect;;;;;wrong
touch;move;tornado;southwest;person;westward;correct
weaken;undergo;person;trend;person;intensification;wrong
release;form;organization;advisory;person;quantity;wrong
wash;damage;;;;;wrong
continue;turn;;;;;correct
because;hit;;;;;wrong
reflect;exist;;;;;wrong
total;leave;;;;;wrong
burn;consume;;;;;correct
affect;break;;;;;wrong
track;intensify;;;;;wrong
longitude;expect;;;;;wrong
experience;record;;;;;wrong
upgrade;develop;;;;;correct-reversed
exceed;lose;;;;;correct
denote;relate;;;;;wrong
make;dissipate;person;landfall;person;mi;wrong
cut;kill;person;power;person;people;wrong
continue;increase;person;westward;convection;shear;wrong
want;go;;;;;wrong
destroy;damage;;;;;correct-reversed
allow;rise;condition;resident;river;water;wrong
affect;total;person;country;damage;money;correct-reversed
continue;enter;person;westward;person;area;correct
multiply;exceed;;;;;correct
peak;weaken;rainfall;wind;person;trend;wrong
classify;assign;organization;system;organization;name;wrong
assign;limit;organization;name;shear;damage;wrong
weaken;absorb;person;trend;person;remnant;wrong
form;track;;;;;correct
slow;intensify;;;;;wrong
want;beware;person;housekeeper;;hurricane;wrong
die;drown;people;person;people;people;correct-reversed
break;burn;fire;record;fire;quantity;correct-reversed
die;kill;people;person;person;people;correct
turn;emerge;;;;;wrong
kill;know;;;;;wrong
pass;peak;person;quantity;rainfall;wind;correct-reversed
kill;range;;;;;wrong
die;rise;;;;;correct-reversed
send;dispatch;organization;team;organization;team;correct
judge;assign;;;;;wrong
deploy;include;;;;;wrong
know;originate;person;cyclone;person;quantity;wrong
return;evacuate;;;;;correct-reversed
develop;note;;;;;wrong
close;reopen;organization;school;organization;road;correct
ignite;burn;fire;fire;fire;quantity;correct
run;extend;;;;;wrong
evacuate;accord;people;people;number;rating;wrong
retire;replace;organization;name;organization;person;correct
expect;name;;;;;wrong
shake;occur;earthquake;country;earthquake;quantity;correct
include;restore;;;;;wrong
kill;miss;;;;;correct
occur;touch;earthquake;quantity;tornado;southwest;wrong
upgrade;attain;organization;system;person;intensity;wrong
attain;degenerate;;;;;wrong
replace;retire;organization;person;organization;name;correct-reversed
rise;cut;river;water;person;power;wrong
fall;kill;quantity;tree;person;people;correct
situate;upgrade;hurricane;mi;organization;system;wrong
base;intensify;;;;;wrong
deploy;send;organization;team;organization;team;correct-reversed
take;come;;;;;wrong
lose;damage;people;power;wind;home;correct-reversed
leave;sustain;storm;people;home;damage;wrong
destroy;lose;;;;;correct
delimit;limit;date;period;shear;damage;wrong
occur;isolate;;;;;wrong
intensify;dissipate;;;;;wrong
send;go;;;;;correct
donate;collect;;;;;correct
attain;develop;person;intensity;depression;eye;wrong
occur;break;;;;;correct
tend;delimit;;;;;wrong
burn;battle;fire;quantity;firefighter;blaze;correct
note;develop;;;;;wrong
exceed;include;;;;;correct-reversed
assign;have;organization;name;person;name;wrong
sink;kill;;;;;correct
know;name;;;;;wrong
shake;strike;;;;;correct-reversed
knock;flood;;;;;correct-reversed
fail;remain;;;;;wrong
pass;bring;person;quantity;storm;rain;wrong
contribute;strike;organization;money;earthquake;country;correct-reversed
leave;enter;storm;people;person;area;wrong
shake;feel;;;;;correct
identify;strike;organization;area;earthquake;country;wrong
lose;cause;people;power;storm;damage;correct-reversed
track;strike;;;;;wrong
damage;spawn;wind;home;storm;tornado;correct-reversed
go;kill;;;;;wrong
bring;provide;storm;rain;organization;assistance;correct
designate;intensify;organization;system;person;storm;wrong
develop;issue;;;;;wrong
attain;assess;person;intensity;person;damage;wrong
define;intensify;plan;eye;person;storm;wrong
downgrade;continue;;;;;wrong
document;form;page;tornado;person;quantity;wrong
evacuate;give;people;people;organization;way;correct
kill;rise;;;;;correct-reversed
raise;donate;organization;money;organization;money;correct-reversed
intensify;weaken;person;storm;person;trend;wrong
indicate;form;;;;;wrong
hit;damage;;;;;correct
track;pass;person;northwestward;person;quantity;wrong
burn;destroy;;;;;correct
run;come;;;;;correct-reversed
mark;replace;;;;;wrong
destroy;cut;tornado;home;person;power;wrong
associate;record;person;convection;station;wind;wrong
emerge;cause;;;;;correct
weaken;deteriorate;person;trend;storm;condition;wrong
begin;reach;;;;;correct
lose;hit;;;;;correct-reversed
report;peak;;;;;correct-reversed
increase;occur;convection;shear;earthquake;quantity;wrong
drop;destroy;;;;;correct
damage;snap;wind;home;tornado;tree;wrong
relate;include;organization;death;person;organization;wrong
die;fall;people;person;quantity;tree;correct-reversed
name;revise;organization;storm;organization;estimate;correct-reversed
affect;cause;;;;;correct
record;die;station;wind;people;person;wrong
dissipate;kill;;;;;correct
hit;injure;earthquake;country;number;people;correct
evacuate;rise;people;people;river;water;correct-reversed
weaken;turn;person;trend;storm;west;wrong
close;reopen;;;;;correct
affect;break;person;country;fire;record;correct-reversed
rise;live;river;water;people;storm;wrong
reside;live;people;west;people;storm;correct
ask;know;;;;;correct
donate;send;;;;;correct
submerge;affect;;;;;wrong
strike;sustain;earthquake;country;home;damage;correct
delimit;limit;;;;;wrong
track;injure;person;northwestward;number;people;wrong
burn;battle;;;;;correct
reflect;speak;this;activity;person;language;wrong
form;pass;person;quantity;person;quantity;wrong
destroy;disrupt;;;;;correct
burn;start;;;;;correct-reversed
expose;weaken;shear;center;person;trend;wrong
cover;occur;flood;area;earthquake;quantity;wrong
record;flood;;;;;wrong
affect;receive;person;country;person;quantity;wrong
sweep;occur;flood;home;earthquake;quantity;wrong
submerge;flood;;;;;correct-reversed
