observe;include;number;wind;person;organization;wrong
destroy;cut;tornado;home;person;power;correct
strand;flood;flooding;people;river;area;correct-reversed
hit;record;;;;;correct
spread;burn;fire;center;fire;quantity;correct-reversed
rebuild;help;;;;;correct-reversed
follow;come;organization;date;person;date;correct
limit;form;;;;;wrong
last;delimit;;;;;wrong
leave;stay;storm;people;person;indoor;wrong
maintain;cross;;;;;wrong
follow;feel;organization;date;person;intensity;wrong
flow;increase;;;;;wrong
total;cause;damage;money;storm;damage;wrong
enter;define;;;;;wrong
center;move;;;;;wrong
ask;know;;;;;correct
name;revise;organization;storm;organization;estimate;wrong
record;inundate;station;wind;flood;area;wrong
longitude;expect;;west;person;storm;wrong
select;retire;;;;;correct
offer;donate;;;;;correct-reversed
trigger;affect;;;;;correct
form;pass;person;quantity;person;quantity;wrong
inundate;flood;flood;area;river;area;correct-reversed
intensify;dissipate;;;;;wrong
destroy;damage;;;;;correct-reversed
know;name;;;;;wrong
occur;shake;earthquake;quantity;earthquake;country;correct
replace;retire;organization;person;organization;name;correct-reversed
begin;move;;;;;wrong
die;rise;;;;;correct-reversed
name;develop;;;;;wrong
follow;provide;;;;;wrong
donate;collect;;;;;correct
form;drift;person;quantity;person;northward;correct
assign;judge;organization;name;organization;system;wrong
release;record;organization;advisory;station;wind;wrong
cover;come;;;;;wrong
leave;remain;;;;;wrong
occur;isolate;;;;;correct
burst;flood;;;;;correct
inundate;affect;;;;;correct
shut;close;organization;airport;organization;school;correct
intensify;weaken;person;storm;person;trend;wrong
take;include;;;;;wrong
erupt;flow;volcano;volcano;water;river;correct
move;enter;;;;;wrong
mark;replace;;;;;wrong
send;arrive;;;;;correct
cause;lead;storm;damage;rain;organization;correct
enter;intensify;;;;;wrong
report;produce;organization;damage;storm;wind;wrong
cross;downgrade;;;;;wrong
occur;touch;earthquake;quantity;tornado;southwest;wrong
follow;occur;;;;;wrong
reach;surge;person;intensity;storm;river;wrong
weaken;cross;;;;;wrong
issue;classify;;;;;wrong
expect;name;;;;;wrong
attain;dissipate;;;;;wrong
publish;assign;;;;;wrong
leave;bring;;;;;wrong
intensify;undergo;person;storm;person;intensification;wrong
affect;break;;;;;correct
tend;delimit;cyclone;farm;date;period;wrong
intensify;accelerate;;;;;wrong
pass;produce;;;;;wrong
intensify;enter;;;;;wrong
help;raise;country;victim;organization;money;correct-reversed
increase;decrease;;;;;correct
take;come;;;;;wrong
send;provide;;;;;correct
assign;take;organization;name;person;place;correct
exist;reflect;cyclone;problem;this;activity;wrong
reflect;speak;this;activity;person;language;wrong
form;dissipate;person;quantity;person;mi;wrong
issue;downgrade;;;;;wrong
move;emerge;;;;;wrong
touch;move;tornado;southwest;person;westward;wrong
affect;wash;;;;;correct-reversed
dissipate;evacuate;person;mi;people;people;correct
deploy;include;;;;;wrong
reflect;multiply;;;;;wrong
record;include;;;;;wrong
name;know;organization;storm;person;cyclone;correct
upgrade;define;;;;;wrong
upgrade;develop;;;;;wrong
total;damage;damage;money;wind;home;wrong
knock;flood;;;;;wrong
evacuate;rise;people;people;river;water;correct-reversed
assess;reach;person;damage;person;intensity;wrong
slip;lie;;;;;correct
wash;fall;flood;road;quantity;tree;wrong
run;delimit;person;organization;date;period;wrong
bring;drop;storm;rain;storm;rainfall;correct
shake;occur;earthquake;country;earthquake;quantity;correct-reversed
reach;curve;person;intensity;storm;northward;wrong
bring;close;storm;rain;organization;school;correct
expect;send;person;storm;organization;team;correct
lose;damage;people;power;wind;home;correct-reversed
reside;live;people;radius;people;storm;correct
affect;cause;;;;;correct-reversed
delimit;limit;date;period;date;damage;wrong
destroy;die;tornado;home;people;person;correct
last;delimit;person;time;date;period;wrong
assign;limit;organization;name;shear;damage;wrong
exist;exceed;cyclone;problem;damage;quantity;correct
hit;strike;earthquake;country;earthquake;country;correct
move;assess;person;westward;person;damage;wrong
submerge;affect;;;;;correct
total;leave;;;;;wrong
rise;crest;river;water;river;quantity;correct
send;go;;;;;correct
lose;fall;people;power;quantity;tree;correct-reversed
burn;extinguish;;;;;correct
shake;hit;;;;;correct
kill;know;;;;;wrong
submerge;flood;;;;;correct-reversed
occur;break;;;;;correct
design;build;;;;;correct
drop;destroy;;;;;correct
include;relate;person;organization;organization;death;wrong
increase;attain;convection;shear;person;intensity;wrong
drown;wash;;;;;correct-reversed
sink;kill;;;;;correct
remain;expect;person;number;person;storm;wrong
take;continue;;;;;wrong
sustain;damage;home;damage;wind;home;correct
emerge;remain;wave;country;person;number;wrong
leave;sustain;storm;people;home;damage;wrong
burn;destroy;;;;;correct
send;fly;;;;;wrong
lose;sustain;people;power;home;damage;wrong
expose;dissipate;;;;;wrong
track;persist;person;northwestward;remnant;quantity;wrong
take;close;;;;;wrong
end;delimit;season;drought;date;period;wrong
flood;damage;river;area;wind;home;correct
move;show;;;;;wrong
name;form;;;;;wrong
base;include;person;organization;person;organization;wrong
assess;intensify;;;;;wrong
archive;retrieve;;;;;correct
intensify;accelerate;person;storm;person;northward;correct-reversed
move;slow;person;westward;person;motion;wrong
resume;weaken;organization;track;person;trend;wrong
contribute;fall;;;;;wrong
shake;measure;earthquake;country;quake;number;correct
peak;pass;rainfall;wind;person;quantity;wrong
strike;damage;;;;;correct
denote;relate;griffin;warning;organization;death;wrong
form;track;;;;;wrong
track;upgrade;;;;;wrong
cross;enter;;;;;correct
flood;affect;;;;;correct
accelerate;cause;person;northward;storm;damage;wrong
fall;miss;quantity;tree;people;people;correct
deepen;upgrade;person;trough;organization;system;wrong
issue;bring;organization;warning;storm;rain;wrong
originate;affect;;;;;wrong
assign;retire;;;;;wrong
begin;remain;record;trend;person;number;wrong
estimate;weaken;person;wind;person;trend;wrong
remain;prevent;;;;;correct
injure;damage;number;people;wind;home;correct-reversed
fall;bring;;;;;wrong
kill;drown;;;;;correct-reversed
situate;upgrade;hurricane;mi;organization;system;wrong
begin;form;record;trend;person;quantity;wrong
affect;distribute;person;country;organization;food;correct-reversed
intensify;turn;;;;;wrong
classify;follow;;;;;wrong
pledge;donate;;;;;correct
weaken;turn;person;trend;storm;west;wrong
burn;consume;;;;;correct
